0.1622179	0.9999
0	0
0.03333	-0.0112053
0.06666	-0.0250138
0.09999	-0.0400056
0.13332	-0.0547608
0.16665	-0.0678594
0.19998	-0.0778815
0.23331	-0.0834071
0.26664	-0.0830162
0.29997	-0.0755698
0.3333	-0.0622561
0.36663	-0.0442975
0.39996	-0.0227382
0.43329	0.00137756
0.46662	0.0270055
0.49995	0.0531015
0.53328	0.0786212
0.56661	0.102521
0.59994	0.123755
0.63327	0.141281
0.6666	0.154053
0.69993	0.161028
0.73326	0.161986
0.76659	0.157587
0.79992	0.148107
0.83325	0.133823
0.86658	0.11501
0.89991	0.0919456
0.93324	0.0649049
0.96657	0.0341642
0.9999	0
