SuitID	SuitName	Effect1	Effect2	Effect3	Effect4	Effect5	Effect6	Effect7	Level	SuitParam			
套装ID	套装名	一件套效果	2件套效果	3件套效果	4件套效果	5件套效果	6件套效果	7件套效果	可见等级	套装包含道具id			
83	维密套			13=1000		12=50|22=50		11=75|21=75	1	10850|10851|10852|10853|10854|10855|10856	时装	7件套	2
71	暗黑骑士套			13=1000		12=50|22=50		11=75|21=75	1	10780|10781|10782|10783|10784|10785|10786	时装	7件套	2
28	棋风套			13=1000		12=50|22=50		11=75|21=75	1	10350|10351|10352|10353|10354|10355|10356	时装	7件套	2
12	新校园套装			13=1000		12=50|22=50		11=75|21=75	1	10120|10121|10122|10123|10124|10125|10126	时装	7件套	2
22	棒球套			13=1000		12=50|22=50		11=75|21=75	1	10220|10221|10222|10223|10224|10225|10226	时装	7件套	2
52	皇室套			13=1000		12=50|22=50		11=75|21=75	1	10660|10661|10662|10663|10664|10665|10666	时装	7件套	2
63	皇帝的新衣套			13=1000		12=50|22=50			1	10440|10441|10442|10443|10444	时装	7件套	2
5	乘务员套			13=1000		12=50|22=50		11=75|21=75	1	10810|10811|10812|10813|10814|10815|10816	时装	7件套	2
6	海军套			13=1000		12=50|22=50		11=75|21=75	1	10060|10061|10062|10063|10064|10065|10066	时装	7件套	2
3	熔岩套装			13=1500		12=75|22=75		11=100|21=100	1	10030|10031|10032|10033|10034|10035|10036	时装	7件套	3
8	神话套			13=1500		12=75|22=75		11=100|21=100	1	10080|10081|10082|10083|10084|10085|10086	时装	7件套	3
10	金属套装			13=1500		12=75|22=75		11=100|21=100	1	10100|10101|10102|10103|10104|10105|10106	时装	7件套	3
37	白色情人套装			13=1500		12=75|22=75		11=100|21=100	1	10320|10321|10322|10323|10324|10325|10326	时装	7件套	3
40	清新动物园			13=1500		12=75|22=75		11=100|21=100	1	10510|10511|10512|10513|10514|10515|10516	时装	7件套	3
43	炫彩动物园			13=1500		12=75|22=75		11=100|21=100	1	10520|10521|10522|10523|10524|10525|10526	时装	7件套	3
46	糖果童话			13=1500		12=75|22=75		11=100|21=100	1	10600|10601|10602|10603|10604|10605|10606	时装	7件套	3
62	沙滩派对			13=1500		12=75|22=75		11=100|21=100	1	10760|10761|10762|10763|10764|10765|10766	时装	7件套	3
64	熊猫套			13=1500		12=75|22=75		11=100|21=100	1	10180|10181|10182|10183|10184|10185|10186	时装	7件套	3
65	恶魔			13=1500		12=75|22=75		11=100|21=100	1	10770|10771|10772|10773|10774|10775|10776	时装	7件套	3
74	未来战士			13=2000		12=100|22=100		11=150|21=150	1	10790|10791|10792|10793|10794|10795|10796	时装	7件套	4
73	锦绣套			13=1500		12=75|22=75		11=100|21=100	1	10800|10801|10802|10803|10804|10805|10806	时装	7件套	3
75	万圣节套			13=1500		12=75|22=75		11=100|21=100	1	10820|10821|10822|10823|10824|10825|10826	时装	7件套	3
80	龙战士套			13=1500		12=75|22=75		11=100|21=100	1	10370|10371|10372|10373|10374|10375|10376	时装	7件套	3
82	舞会套			13=1500		12=75|22=75		11=100|21=100	1	10840|10841|10842|10843|10844|10845|10846	时装	7件套	3
113	星座三件套	111=500	31=500	11=250|21=250					1	11067|11068|11069	时装	3件套	4
114	祝福三件套	111=500	31=500	11=250|21=250					1	11193|11194|11195	时装	3件套	4
108	堕落三件套	111=500	31=500	11=250|21=250					1	11087|11088|11089	时装	3件套	4
100	贪婪三件套	111=500	31=500	11=250|21=250					1	11014|11015|11016	时装	3件套	4
115	夏沫三件套	111=500	31=500	11=250|21=250					1	11024|11025|11026	时装	3件套	4
116	星辰三件套	111=500	31=500	11=250|21=250					1	11030|11031|11032	时装	3件套	4
117	卢比纳特三件套	111=500	31=500	11=250|21=250					1	11033|11034|11035	时装	3件套	4
118	泯灭三件套	111=500	31=500	11=250|21=250					1	11040|11041|11042	时装	3件套	4
119	万圣节三件套	111=500	31=500	11=250|21=250					1	11043|11044|11045	时装	3件套	4
120	维密三件套	111=500	31=500	11=250|21=250					1	11046|11047|11048	时装	3件套	4
16001	兽人套·战士			13=1000		12=50|22=50		11=50|21=50	12	116370|116371|116372|116373|116374|116375|116376	装备	7件套	2
16002	地精套·弓箭手			13=1000		12=50|22=50		11=50|21=50	12	216370|216371|216372|216373|216374|216375|216376	装备	7件套	2
16003	克洛伯套·法师			13=1000		12=50|22=50		11=50|21=50	12	316370|316371|316372|316373|316374|316375|316376	装备	7件套	2
16004	青狮套·牧师			13=1000		12=50|22=50		11=50|21=50	12	416370|416371|416372|416373|416374|416375|416376	装备	7件套	2
16005	克洛伯套·学者			13=1000		12=50|22=50		11=50|21=50	12	516370|516371|516372|516373|516374|516375|516376	装备	7件套	2
16006	地精套·刺客			13=1000		12=50|22=50		11=50|21=50	12	616370|616371|616372|616373|616374|616375|616376	装备	7件套	2
16007	克洛伯套·舞娘			13=1000		12=50|22=50		11=50|21=50	12	716370|716371|716372|716373|716374|716375|716376	装备	7件套	2
32011	地狱犬套·战士			13=3000		12=150|22=150		11=200|21=200	20	132500|132501|132502|132503|132504|132505|132506	装备	7件套	3
32012	地狱犬套·弓箭手			13=3000		12=150|22=150		11=200|21=200	20	232500|232501|232502|232503|232504|232505|232506	装备	7件套	3
32013	地狱犬套·魔法师			13=3000		12=150|22=150		11=200|21=200	20	332500|332501|332502|332503|332504|332505|332506	装备	7件套	3
32014	地狱犬套·牧师			13=3000		12=150|22=150		11=200|21=200	20	432500|432501|432502|432503|432504|432505|432506	装备	7件套	3
32015	地狱犬套·学者			13=3000		12=150|22=150		11=200|21=200	20	532500|532501|532502|532503|532504|532505|532506	装备	7件套	3
32016	地狱犬套·刺客			13=3000		12=150|22=150		11=200|21=200	20	632500|632501|632502|632503|632504|632505|632506	装备	7件套	3
32017	地狱犬套·舞娘			13=3000		12=150|22=150		11=200|21=200	20	732500|732501|732502|732503|732504|732505|732506	装备	7件套	3
40011	狮蝎套·战士			13=3000		12=150|22=150		11=200|21=200	33	140500|140501|140502|140503|140504|140505|140506	装备	7件套	3
40012	狮蝎套·弓箭手			13=3000		12=150|22=150		11=200|21=200	33	240500|240501|240502|240503|240504|240505|240506	装备	7件套	3
40013	狮蝎套·魔法师			13=3000		12=150|22=150		11=200|21=200	33	340500|340501|340502|340503|340504|340505|340506	装备	7件套	3
40014	狮蝎套·牧师			13=3000		12=150|22=150		11=200|21=200	33	440500|440501|440502|440503|440504|440505|440506	装备	7件套	3
40015	狮蝎套·学者			13=3000		12=150|22=150		11=200|21=200	33	540500|540501|540502|540503|540504|540505|540506	装备	7件套	3
40016	狮蝎套·刺客			13=3000		12=150|22=150		11=200|21=200	33	640500|640501|640502|640503|640504|640505|640506	装备	7件套	3
40017	狮蝎套·舞娘			13=3000		12=150|22=150		11=200|21=200	33	740500|740501|740502|740503|740504|740505|740506	装备	7件套	3
40021	海龙套·战士			13=5000		12=250|22=250		11=250|21=250	40	140600|140601|140602|140603|140604|140605|140606	装备	7件套	4
40022	海龙套·弓箭手			13=5000		12=250|22=250		11=250|21=250	40	240600|240601|240602|240603|240604|240605|240606	装备	7件套	4
