Level	DragonCoin	DiamondCost
人物等级	龙币数量	当日消耗钻石（第一次|第二次|第三次）
1	100	100|100|100|100|100|100|100|100|100|100
2	100	100|100|100|100|100|100|100|100|100|100
3	100	100|100|100|100|100|100|100|100|100|100
4	100	100|100|100|100|100|100|100|100|100|100
5	100	100|100|100|100|100|100|100|100|100|100
6	100	100|100|100|100|100|100|100|100|100|100
7	100	100|100|100|100|100|100|100|100|100|100
8	100	100|100|100|100|100|100|100|100|100|100
9	100	100|100|100|100|100|100|100|100|100|100
10	100	100|100|100|100|100|100|100|100|100|100
11	100	100|100|100|100|100|100|100|100|100|100
12	100	100|100|100|100|100|100|100|100|100|100
13	100	100|100|100|100|100|100|100|100|100|100
14	100	100|100|100|100|100|100|100|100|100|100
15	100	100|100|100|100|100|100|100|100|100|100
16	100	100|100|100|100|100|100|100|100|100|100
17	100	100|100|100|100|100|100|100|100|100|100
18	100	100|100|100|100|100|100|100|100|100|100
19	100	100|100|100|100|100|100|100|100|100|100
20	100	100|100|100|100|100|100|100|100|100|100
21	100	100|100|100|100|100|100|100|100|100|100
22	100	100|100|100|100|100|100|100|100|100|100
23	100	100|100|100|100|100|100|100|100|100|100
24	100	100|100|100|100|100|100|100|100|100|100
25	100	100|100|100|100|100|100|100|100|100|100
26	100	100|100|100|100|100|100|100|100|100|100
27	100	100|100|100|100|100|100|100|100|100|100
28	100	100|100|100|100|100|100|100|100|100|100
29	100	100|100|100|100|100|100|100|100|100|100
30	100	100|100|100|100|100|100|100|100|100|100
31	100	100|100|100|100|100|100|100|100|100|100
32	100	100|100|100|100|100|100|100|100|100|100
33	100	100|100|100|100|100|100|100|100|100|100
34	100	100|100|100|100|100|100|100|100|100|100
35	100	100|100|100|100|100|100|100|100|100|100
36	100	100|100|100|100|100|100|100|100|100|100
37	100	100|100|100|100|100|100|100|100|100|100
38	100	100|100|100|100|100|100|100|100|100|100
39	100	100|100|100|100|100|100|100|100|100|100
40	100	100|100|100|100|100|100|100|100|100|100
41	100	100|100|100|100|100|100|100|100|100|100
42	100	100|100|100|100|100|100|100|100|100|100
43	100	100|100|100|100|100|100|100|100|100|100
44	100	100|100|100|100|100|100|100|100|100|100
45	100	100|100|100|100|100|100|100|100|100|100
46	100	100|100|100|100|100|100|100|100|100|100
47	100	100|100|100|100|100|100|100|100|100|100
48	100	100|100|100|100|100|100|100|100|100|100
49	100	100|100|100|100|100|100|100|100|100|100
50	100	100|100|100|100|100|100|100|100|100|100
51	100	100|100|100|100|100|100|100|100|100|100
52	100	100|100|100|100|100|100|100|100|100|100
53	100	100|100|100|100|100|100|100|100|100|100
54	100	100|100|100|100|100|100|100|100|100|100
55	100	100|100|100|100|100|100|100|100|100|100
