ServerLevel	Profession	Sprite
服务器等级	职业	精灵（id=level）
32	1	3402=27|3404=27|3405=27
32	2	3402=27|3404=27|3405=27
32	3	3402=27|3404=27|3405=27
32	4	3402=27|3404=27|3405=27
32	5	3402=27|3404=27|3405=27
32	6	3402=27|3404=27|3405=27
40	1	3402=25|3404=25|3405=25|3408=25
40	2	3402=25|3404=25|3405=25|3408=25
40	3	3402=25|3404=25|3405=25|3408=25
40	4	3402=25|3404=25|3405=25|3408=25
40	5	3402=25|3404=25|3405=25|3408=25
40	6	3402=25|3404=25|3405=25|3408=25
50	1	3402=45|3404=45|3405=45|3408=45
50	2	3402=45|3404=45|3405=45|3408=45
50	3	3402=45|3404=45|3405=45|3408=45
50	4	3402=45|3404=45|3405=45|3408=45
50	5	3402=45|3404=45|3405=45|3408=45
50	6	3402=45|3404=45|3405=45|3408=45
60	1	3402=55|3404=55|3405=55|3408=55
60	2	3402=55|3404=55|3405=55|3408=55
60	3	3402=55|3404=55|3405=55|3408=55
60	4	3402=55|3404=55|3405=55|3408=55
60	5	3402=55|3404=55|3405=55|3408=55
60	6	3402=55|3404=55|3405=55|3408=55
70	1	3402=65|3404=65|3405=65|3408=65
70	2	3402=65|3404=65|3405=65|3408=65
70	3	3402=65|3404=65|3405=65|3408=65
70	4	3402=65|3404=65|3405=65|3408=65
70	5	3402=65|3404=65|3405=65|3408=65
70	6	3402=65|3404=65|3405=65|3408=65
80	1	3402=75|3404=75|3405=75|3408=75
80	2	3402=75|3404=75|3405=75|3408=75
80	3	3402=75|3404=75|3405=75|3408=75
80	4	3402=75|3404=75|3405=75|3408=75
80	5	3402=75|3404=75|3405=75|3408=75
80	6	3402=75|3404=75|3405=75|3408=75
90	1	3402=85|3404=85|3405=85|3408=85
90	2	3402=85|3404=85|3405=85|3408=85
90	3	3402=85|3404=85|3405=85|3408=85
90	4	3402=85|3404=85|3405=85|3408=85
90	5	3402=85|3404=85|3405=85|3408=85
90	6	3402=85|3404=85|3405=85|3408=85
