type	rank	reward	levelseal
排名类型（0公会内小组排名，1公会比赛排名）	排名	排名奖励	封印等级
0	0	22=800	1=2
1	0	22=900	1=2
1	1	22=900	1=2
1	2	22=850	1=2
1	3	22=800	1=2
1	4	22=750	1=2
1	5	22=700	1=2
1	6	22=650	1=2
1	7	22=600	1=2
1	8	22=550	1=2
1	9	22=500	1=2
1	10	22=450	1=2
0	0	22=900	3=3
1	0	22=1000	3=3
1	1	22=1000	3=3
1	2	22=900	3=3
1	3	22=800	3=3
1	4	22=750	3=3
1	5	22=700	3=3
1	6	22=650	3=3
1	7	22=600	3=3
1	8	22=550	3=3
1	9	22=500	3=3
1	10	22=500	3=3
0	0	22=1000	4=4
1	0	22=1100	4=4
1	1	22=1100	4=4
1	2	22=1000	4=4
1	3	22=900	4=4
1	4	22=800	4=4
1	5	22=750	4=4
1	6	22=700	4=4
1	7	22=650	4=4
1	8	22=600	4=4
1	9	22=550	4=4
1	10	22=550	4=4
0	0	22=1100	5=5
1	0	22=1200	5=5
1	1	22=1200	5=5
1	2	22=1100	5=5
1	3	22=1000	5=5
1	4	22=900	5=5
1	5	22=800	5=5
1	6	22=750	5=5
1	7	22=700	5=5
1	8	22=650	5=5
1	9	22=600	5=5
1	10	22=600	5=5
0	0	22=1200	6=6
1	0	22=1300	6=6
1	1	22=1300	6=6
1	2	22=1200	6=6
1	3	22=1100	6=6
1	4	22=1000	6=6
1	5	22=900	6=6
1	6	22=800	6=6
1	7	22=750	6=6
1	8	22=700	6=6
1	9	22=650	6=6
1	10	22=650	6=6
0	0	22=1300	7=7
1	0	22=1400	7=7
1	1	22=1400	7=7
1	2	22=1300	7=7
1	3	22=1200	7=7
1	4	22=1100	7=7
1	5	22=1000	7=7
1	6	22=900	7=7
1	7	22=800	7=7
1	8	22=750	7=7
1	9	22=700	7=7
1	10	22=700	7=7
0	0	22=1400	8=8
1	0	22=1500	8=8
1	1	22=1500	8=8
1	2	22=1400	8=8
1	3	22=1300	8=8
1	4	22=1200	8=8
1	5	22=1100	8=8
1	6	22=1000	8=8
1	7	22=900	8=8
1	8	22=800	8=8
1	9	22=750	8=8
1	10	22=750	8=8
0	0	22=1500	9=9
1	0	22=1600	9=9
1	1	22=1600	9=9
1	2	22=1500	9=9
1	3	22=1400	9=9
1	4	22=1300	9=9
1	5	22=1200	9=9
1	6	22=1100	9=9
1	7	22=1000	9=9
1	8	22=900	9=9
1	9	22=800	9=9
1	10	22=800	9=9
0	0	22=1600	10=10
1	0	22=1800	10=10
1	1	22=1800	10=10
1	2	22=1700	10=10
1	3	22=1600	10=10
1	4	22=1500	10=10
1	5	22=1400	10=10
1	6	22=1300	10=10
1	7	22=1200	10=10
1	8	22=1100	10=10
1	9	22=1000	10=10
1	10	22=900	10=10
0	0	22=1600	11=11
1	0	22=1800	11=11
1	1	22=1800	11=11
1	2	22=1700	11=11
1	3	22=1600	11=11
1	4	22=1500	11=11
1	5	22=1400	11=11
1	6	22=1300	11=11
1	7	22=1200	11=11
1	8	22=1100	11=11
1	9	22=1000	11=11
1	10	22=900	11=11
0	0	22=1600	12=12
1	0	22=1800	12=12
1	1	22=1800	12=12
1	2	22=1700	12=12
1	3	22=1600	12=12
1	4	22=1500	12=12
1	5	22=1400	12=12
1	6	22=1300	12=12
1	7	22=1200	12=12
1	8	22=1100	12=12
1	9	22=1000	12=12
1	10	22=900	12=12
0	0	22=1600	13=13
1	0	22=1800	13=13
1	1	22=1800	13=13
1	2	22=1700	13=13
1	3	22=1600	13=13
1	4	22=1500	13=13
1	5	22=1400	13=13
1	6	22=1300	13=13
1	7	22=1200	13=13
1	8	22=1100	13=13
1	9	22=1000	13=13
1	10	22=900	13=13
0	0	22=1600	14=14
1	0	22=1800	14=14
1	1	22=1800	14=14
1	2	22=1700	14=14
1	3	22=1600	14=14
1	4	22=1500	14=14
1	5	22=1400	14=14
1	6	22=1300	14=14
1	7	22=1200	14=14
1	8	22=1100	14=14
1	9	22=1000	14=14
1	10	22=900	14=14
0	0	22=1600	15=15
1	0	22=1800	15=15
1	1	22=1800	15=15
1	2	22=1700	15=15
1	3	22=1600	15=15
1	4	22=1500	15=15
1	5	22=1400	15=15
1	6	22=1300	15=15
1	7	22=1200	15=15
1	8	22=1100	15=15
1	9	22=1000	15=15
1	10	22=900	15=15
0	0	22=1600	16=16
1	0	22=1800	16=16
1	1	22=1800	16=16
1	2	22=1700	16=16
1	3	22=1600	16=16
1	4	22=1500	16=16
1	5	22=1400	16=16
1	6	22=1300	16=16
1	7	22=1200	16=16
1	8	22=1100	16=16
1	9	22=1000	16=16
1	10	22=900	16=16
0	0	22=1600	17=17
1	0	22=1800	17=17
1	1	22=1800	17=17
1	2	22=1700	17=17
1	3	22=1600	17=17
1	4	22=1500	17=17
1	5	22=1400	17=17
1	6	22=1300	17=17
1	7	22=1200	17=17
1	8	22=1100	17=17
1	9	22=1000	17=17
1	10	22=900	17=17
0	0	22=1600	18=18
1	0	22=1800	18=18
1	1	22=1800	18=18
1	2	22=1700	18=18
1	3	22=1600	18=18
1	4	22=1500	18=18
1	5	22=1400	18=18
1	6	22=1300	18=18
1	7	22=1200	18=18
1	8	22=1100	18=18
1	9	22=1000	18=18
1	10	22=900	18=18
0	0	22=1600	19=19
1	0	22=1800	19=19
1	1	22=1800	19=19
1	2	22=1700	19=19
1	3	22=1600	19=19
1	4	22=1500	19=19
1	5	22=1400	19=19
1	6	22=1300	19=19
1	7	22=1200	19=19
1	8	22=1100	19=19
1	9	22=1000	19=19
1	10	22=900	19=19
