HellDoorDropID	ProfID	WorstDropID	WorseDropID	CommonDropID	EnterWorseDropTimes	EnterWorstDropTimes
地狱之门掉落ID	职业（填0或者基础职业）	最差dropid	更差dropid	普通dropid	进入更差包次数	进入最差包次数
610	0	20001	20002	20003	8=12	500=550
30000	0	30000	30001	30001	200=205	1000=1100
30005	0	30005	30004	30004	40=45	1000=1100
31000	0	31000	31002	31002	200=205	1000=1100
31001	0	31001	31003	31003	40=45	1000=1100
32000	0	32000	32002	32002	200=205	1000=1100
32001	0	32001	32003	32003	40=45	1000=1100
40101	0	40121	40111	40101	6=10	11=15
40102	0	40122	40112	40102	6=10	11=15
40103	0	40123	40113	40103	6=10	11=15
40104	0	40124	40114	40104	6=10	11=15
40105	0	40125	40115	40105	6=10	11=15
40106	0	40126	40116	40106	6=10	11=15
40107	0	40127	40117	40107	6=10	11=15
