LevelRange	TaskID	Reward
等级段	任务ID	奖励
1=32	71001	363=50|186=6
1=32	71002	373=50|186=12
1=32	71003	21=200|131=20
1=32	71004	21=300|131=30
1=32	71005	21=200|93=20
1=32	71006	21=300|93=30
1=32	71007	7=50|22=500
1=32	71008	7=100|22=1000
1=32	71009	7=300|22=1500
33=40	71001	364=50|187=6
33=40	71002	374=50|187=12
33=40	71003	21=200|132=20
33=40	71004	21=300|132=30
33=40	71005	21=200|93=20
33=40	71006	21=300|93=30
33=40	71007	7=50|22=500
33=40	71008	7=100|22=1000
33=40	71009	7=300|22=1500
41=50	71001	365=50|188=6
41=50	71002	375=50|188=12
41=50	71003	21=200|133=20
41=50	71004	21=300|133=30
41=50	71005	21=200|93=20
41=50	71006	21=300|93=30
41=50	71007	7=50|22=500
41=50	71008	7=100|22=1000
41=50	71009	7=300|22=1500
51=60	71001	366=50|189=6
51=60	71002	376=50|189=12
51=60	71003	21=200|134=20
51=60	71004	21=300|134=30
51=60	71005	21=200|93=20
51=60	71006	21=300|93=30
51=60	71007	7=50|22=500
51=60	71008	7=100|22=1000
51=60	71009	7=300|22=1500
61=70	71001	367=50|189=6
61=70	71002	377=50|189=12
61=70	71003	21=200|139=20
61=70	71004	21=300|139=30
61=70	71005	21=200|93=20
61=70	71006	21=300|93=30
61=70	71007	7=50|22=500
61=70	71008	7=100|22=1000
61=70	71009	7=300|22=1500
71=80	71001	368=50|189=6
71=80	71002	378=50|189=12
71=80	71003	21=200|140=20
71=80	71004	21=300|140=30
71=80	71005	21=200|93=20
71=80	71006	21=300|93=30
71=80	71007	7=50|22=500
71=80	71008	7=100|22=1000
71=80	71009	7=300|22=1500
81=90	71001	369=50|189=6
81=90	71002	379=50|189=12
81=90	71003	21=200|141=20
81=90	71004	21=300|141=30
81=90	71005	21=200|93=20
81=90	71006	21=300|93=30
81=90	71007	7=50|22=500
81=90	71008	7=100|22=1000
81=90	71009	7=300|22=1500
91=999	71001	370=50|189=6
91=999	71002	380=50|189=12
91=999	71003	21=200|142=20
91=999	71004	21=300|142=30
91=999	71005	21=200|93=20
91=999	71006	21=300|93=30
91=999	71007	7=50|22=500
91=999	71008	7=100|22=1000
91=999	71009	7=300|22=1500
