DropDescription	DropID	DropProb	DropLevel	ItemID	ItemName	ItemCount	ItemBind	price				
掉落说明	掉落ID(0是无掉落)	掉落概率	掉落等级段(空表示不区分等级段)	道具ID(0代表无掉落)	道具名称	道具数量	道具是否绑定（0：不绑定，1：绑定）	价格	关卡	关	类型	备注
	1	1		7		50	1					
	2	600		93	绿玛瑙	5	1					
	2	400		93	绿玛瑙	10	1					
	2	200		93	绿玛瑙	15	1					
	2	600		602	精灵派对蛋糕	2	1					
	2	150		602	精灵派对蛋糕	3	1					
	2	100		238	精炼石	1	1					
	2	100		239	锻造石	1	1					
	2	500		603	觉醒药水	1	1					
	2	250		603	觉醒药水	2	1					
	2	300		604	精灵升星药水	1	1					
	2	150		604	精灵升星药水	2	1					
	2	600		7	龙币	50	1					
	2	300		7	龙币	100	1					
	2	800		1	金币	50000	1					
	2	400		1	金币	75000	1					
	2	200		1	金币	100000	1					
	3	80		0		0	1					
	3	20		317		1	1					
	4	60		0		0	1					
	4	40		317		1	1					
	5	2800		93		3	1					
	5	2800		7		50	1					
	5	2800		1		20000	1					
	5	300		238		1	1					
	5	900		15235		1	1					
	5	300		15236		1	1					
	5	100		15237		1	1					
祭祀礼包	6	24		402	3级龙玉袋子	2	1					
祭祀礼包	6	24		603	精灵升星药水	3	1					
祭祀礼包	6	24		604	精灵觉醒药水	6	1					
祭祀礼包	6	24		239	锻造石	2	1					
祭祀礼包	6	4		3401	高贵的杰兰特	1	1					
100龙币	7	1		7	龙币	100						
好友10级奖励	8	1		1	体力	0						
好友15级奖励	9	1		1	体力	0						
好友20级奖励	10	1		1	体力	0						
金币普通10连抽	11	1		3201	精灵B1	1						金币普通10连抽
金币普通10连抽	11	1		3202	精灵B2	1						金币普通10连抽
金币普通10连抽	11	1		3203	精灵B3	1						金币普通10连抽
金币普通10连抽	11	1		3204	精灵B4	1						金币普通10连抽
金币普通10连抽	11	1		3205	精灵B5	1						金币普通10连抽
金币普通10连抽	11	1		3206	精灵B6	1						金币普通10连抽
金币普通10连抽	11	1		3207	精灵B7	1						金币普通10连抽
金币普通10连抽	11	1		3208	精灵B8	1						金币普通10连抽
金币普通10连抽	11	1		3209	精灵B9	1						金币普通10连抽
金币普通10连抽	11	1		3210	精灵B10	1						金币普通10连抽
金币普通10连抽	11	1		3211	精灵B11	1						金币普通10连抽
金币普通10连抽	11	1		3212	精灵B12	1						金币普通10连抽
金币普通10连抽	11	1		3213	精灵B13	1						金币普通10连抽
金币普通10连抽	11	1		3214	精灵B14	1						金币普通10连抽
金币普通10连抽	11	1		3215	精灵B15	1						金币普通10连抽
金币普通10连抽	11	1		3216	精灵B16	1						金币普通10连抽
金币普通10连抽	11	1		3217	精灵B17	1						金币普通10连抽
金币普通10连抽	11	1		3218	精灵B18	1						金币普通10连抽
金币普通10连抽	11	1		3219	精灵B19	1						金币普通10连抽
金币普通10连抽	11	1		3220	精灵B20	1						金币普通10连抽
