ServerLevel	Profession	EmblemIDs	SmeltRate
服务器等级	职业	纹章ID	洗炼百分比
32	1	2323001|2323004|2323011|2323012|2323013|2323022|2323031|2323002	10
32	2	2323001|2323004|2323011|2323012|2323013|2323022|2323031|2323002	10
32	3	2323003|2323004|2323021|2323012|2323013|2323022|2323031|2323002	10
32	4	2323003|2323004|2323021|2323012|2323013|2323022|2323031|2323002	10
32	5	2323003|2323004|2323021|2323012|2323013|2323022|2323031|2323002	10
32	6	2323001|2323004|2323011|2323012|2323013|2323022|2323031|2323002	10
40	1	2403001|2403004|2403011|2403012|2403013|2403022|2403031|2403002	10
40	2	2403001|2403004|2403011|2403012|2403013|2403022|2403031|2403002	10
40	3	2403003|2403004|2403021|2403012|2403013|2403022|2403031|2403002	10
40	4	2403003|2403004|2403021|2403012|2403013|2403022|2403031|2403002	10
40	5	2403003|2403004|2403021|2403012|2403013|2403022|2403031|2403002	10
40	6	2403001|2403004|2403011|2403012|2403013|2403022|2403031|2403002	10
50	1	2503001|2503004|2503011|2503012|2503013|2503022|2503031|2503002	10
50	2	2503001|2503004|2503011|2503012|2503013|2503022|2503031|2503002	10
50	3	2503003|2503004|2503021|2503012|2503013|2503022|2503031|2503002	10
50	4	2503003|2503004|2503021|2503012|2503013|2503022|2503031|2503002	10
50	5	2503003|2503004|2503021|2503012|2503013|2503022|2503031|2503002	10
50	6	2503001|2503004|2503011|2503012|2503013|2503022|2503031|2503002	10
60	1	2603001|2603004|2603011|2603012|2603013|2603022|2603031|2603002	10
60	2	2603001|2603004|2603011|2603012|2603013|2603022|2603031|2603002	10
60	3	2603003|2603004|2603021|2603012|2603013|2603022|2603031|2603002	10
60	4	2603003|2603004|2603021|2603012|2603013|2603022|2603031|2603002	10
60	5	2603003|2603004|2603021|2603012|2603013|2603022|2603031|2603002	10
60	6	2603001|2603004|2603011|2603012|2603013|2603022|2603031|2603002	10
70	1	2703001|2703004|2703011|2703012|2703013|2703022|2703031|2703002	10
70	2	2703001|2703004|2703011|2703012|2703013|2703022|2703031|2703002	10
70	3	2703003|2703004|2703021|2703012|2703013|2703022|2703031|2703002	10
70	4	2703003|2703004|2703021|2703012|2703013|2703022|2703031|2703002	10
70	5	2703003|2703004|2703021|2703012|2703013|2703022|2703031|2703002	10
70	6	2703001|2703004|2703011|2703012|2703013|2703022|2703031|2703002	10
80	1	2803001|2803004|2803011|2803012|2803013|2803022|2803031|2803002	10
80	2	2803001|2803004|2803011|2803012|2803013|2803022|2803031|2803002	10
80	3	2803003|2803004|2803021|2803012|2803013|2803022|2803031|2803002	10
80	4	2803003|2803004|2803021|2803012|2803013|2803022|2803031|2803002	10
80	5	2803003|2803004|2803021|2803012|2803013|2803022|2803031|2803002	10
80	6	2803001|2803004|2803011|2803012|2803013|2803022|2803031|2803002	10
90	1	2903001|2903004|2903011|2903012|2903013|2903022|2903031|2903002	10
90	2	2903001|2903004|2903011|2903012|2903013|2903022|2903031|2903002	10
90	3	2903003|2903004|2903021|2903012|2903013|2903022|2903031|2903002	10
90	4	2903003|2903004|2903021|2903012|2903013|2903022|2903031|2903002	10
90	5	2903003|2903004|2903021|2903012|2903013|2903022|2903031|2903002	10
90	6	2903001|2903004|2903011|2903012|2903013|2903022|2903031|2903002	10
