Level	Gold	DragonCoinCost	DiamondCost
人物等级	招财数量	当日消耗龙币（第一次|第二次|第三次）	当日消耗钻石（第一次|第二次|第三次）
1	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
2	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
3	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
4	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
5	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
6	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
7	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
8	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
9	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
10	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
11	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
12	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
13	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
14	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
15	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
16	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
17	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
18	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
19	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
20	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
21	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
22	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
23	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
24	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
25	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
26	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
27	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
28	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
29	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
30	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
31	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
32	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
33	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
34	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
35	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
36	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
37	50000	50|50|50|50|50|50|50|50|50|50	50|50|50|50|50|50|50|50|50|50
